Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2022-07-19,2934.64794921875,2939.134475060165,2892.4551229807694,2892.4551229807694,1865074
2022-07-20,3021.086181640625,3027.9114062480317,2957.3673054041365,2966.674556989242,3402251
2022-07-21,3033.0185546875,3039.4142604463223,3001.2784403156907,3023.186232045698,2420640
2022-07-22,3027.004638671875,3051.8239766111587,3000.753415851479,3040.3688975622586,2075886
2022-07-25,3022.94775390625,3041.7531294954447,3006.099334344648,3021.277221477313,1797504
2022-07-26,2974.40673828125,3025.0000057383745,2955.8877864337132,3020.990774550723,2639367
2022-07-27,3044.044189453125,3049.0557865822516,2968.7746803016184,2973.5476299484058,1389808
2022-07-28,3112.440185546875,3115.78125,3056.262480020523,3069.9609375,2106333
2022-07-29,3151.9609375,3166.6617647770695,3126.2825571984404,3140.601408605456,2430257
2022-08-01,3149.0009765625,3175.9203631469627,3122.463332688222,3175.9203631469627,1306913
2022-08-02,3142.319091796875,3162.460798933634,3123.0839654036736,3140.600783359278,1269114
2022-08-03,3187.85302734375,3196.9216315538906,3128.2389336468696,3131.054927290762,2895824
2022-08-04,3202.601318359375,3234.055008756772,3157.1629792361323,3197.8761449947697,2150567
2022-08-05,3212.242431640625,3223.6497330635852,3202.6487576038876,3208.5671677135183,1106933
2022-08-08,3221.215576171875,3225.4634542662207,3184.511644150338,3212.1947489705894,1068836
2022-08-10,3201.93359375,3231.2872370406944,3183.5577357550123,3231.2872370406944,1878359
2022-08-11,3267.08349609375,3273.0019060719005,3221.7882580034398,3245.60522621439,1449248
2022-08-12,3247.0849609375,3263.742506234771,3227.706741505212,3263.742506234771,1472354
2022-08-16,3238.637451171875,3259.78175953562,3233.6736297753846,3256.1064948085127,839942
2022-08-17,3246.65576171875,3262.740461501129,3218.0180650750426,3231.382323508773,1622326
2022-08-18,3227.706787109375,3237.9686275415897,3209.3309333121533,3236.0594479262936,1430659
2022-08-19,3232.00244140625,3266.129027031377,3218.1608891946603,3233.1956786658698,1398410
2022-08-22,3202.219970703125,3230.4281521627313,3195.3945122862156,3212.1953897156213,1536532
2022-08-23,3135.446044921875,3190.1438591582005,3121.5089393106236,3169.190657690176,1849256
2022-08-24,3107.5244140625,3157.7834805294233,3102.608136102807,3142.510041687685,1691923
2022-08-25,3072.06103515625,3129.288650546516,3068.767746756177,3127.23637557298,1946930
2022-08-26,3075.879150390625,3109.098921430618,3070.724458787068,3087.429779979895,1457962
2022-08-29,2990.30078125,2999.9897759779474,2941.091622934434,2983.0935805485574,2539173
2022-08-30,3065.331298828125,3079.984347180501,2999.417051931063,3011.731168558649,3431525
2022-09-01,2989.489013671875,3045.1416490410443,2979.274948795329,3045.1416490410443,3546935
2022-09-02,2988.248291015625,3019.3680166568424,2978.6070723377884,3019.3680166568424,2052900
2022-09-05,2991.1123046875,3005.0016362251235,2970.922818788809,2981.8050519015123,2147912
2022-09-06,2985.050537109375,2998.2239249743907,2965.290571838944,2993.1167755418574,1936453
2022-09-07,3006.576171875,3018.3174401457472,2961.1376034997,2961.1376034997,1291534
2022-09-08,3025.715576171875,3038.93673860342,3016.599429694309,3026.0497758356655,1346113
2022-09-09,3071.53662109375,3086.666966804644,3024.6186127479555,3049.915249401836,1561185
2022-09-12,3095.687255859375,3121.3180877823274,3078.552413841233,3092.775710066458,1785928
2022-09-13,3082.705322265625,3115.2567015655613,3078.552762527048,3115.2567015655613,1972678
2022-09-14,2978.7021484375,2998.748535783623,2972.401995104077,2992.6392538140913,5090269
2022-09-15,2963.381103515625,2995.264311385595,2959.228544433223,2987.866240024512,2138023
2022-09-16,2872.074462890625,2953.835224167203,2863.7695777260524,2936.3184070284456,5322221
2022-09-19,2891.26220703125,2903.8627482827815,2852.1240174587338,2898.1352083453403,2072220
2022-09-20,2902.239990234375,2940.089390077418,2892.4076667366094,2911.499466517049,1544295
2022-09-21,2864.9150390625,2903.2895047947522,2862.0034933808606,2890.4980939020566,2253818
2022-09-22,2870.833251953125,2892.359298408901,2844.0094185863686,2854.2234827667107,2017983
2022-09-23,2846.634765625,2885.247879217424,2843.72321991355,2867.587966639914,2652374
2022-09-26,2858.423583984375,2888.4456194285385,2793.2252875419163,2825.4426930674654,2925489
2022-09-27,2880.42724609375,2887.6344464469566,2840.859541364014,2872.7427507907173,2227447
2022-09-28,2897.801025390625,2911.451708931333,2844.6781853852276,2844.6781853852276,2739767
2022-09-29,2861.19189453125,2917.0831708140295,2854.2233427691804,2915.317086560895,2493902
2022-09-30,2868.11279296875,2882.5747350293536,2816.1354256443183,2855.0349594893482,2817353
2022-10-03,2849.403076171875,2883.5296651061894,2838.950363374857,2858.996751280328,1763331
2022-10-04,2950.780517578125,2957.3195517065715,2885.725308201732,2892.3596614890116,2145875
2022-10-06,2961.09033203125,2982.1390876312917,2952.0217272513214,2969.729417932442,1790816
2022-10-07,2925.721923828125,2964.0010646153405,2919.2309002104353,2956.7460895608137,1939879
2022-10-10,2976.936767578125,2985.003006674479,2868.543023683022,2873.3159738056224,3064063
2022-10-11,2930.16162109375,3002.1853860496685,2914.697310549101,2959.2288383955397,4730645
2022-10-12,2959.944580078125,2968.678984286986,2923.0019982122926,2944.8142372090365,1665247
2022-10-13,2962.37890625,2968.774612018755,2913.7425970787276,2959.944655375291,2054781
2022-10-14,2958.416748046875,3006.957730344085,2931.545139646567,3002.1847815657616,2245977
2022-10-17,2978.1328125,2994.0677753006244,2939.5632301876703,2940.7116559797037,1517005
2022-10-18,3009.66796875,3019.8608027991036,2994.211535851112,3014.740435897422,1793722
2022-10-19,2987.79931640625,3023.354019340432,2978.3721773306183,3023.354019340432,1194289
2022-10-20,3021.726806640625,3024.31082295409,2971.672501668497,2971.672501668497,1587601
2022-10-21,3002.68115234375,3024.6935411540876,2992.727817822873,3022.205324352529,1021913
2022-10-24,3025.937744140625,3041.537875001264,3019.5254863527343,3033.9771914936096,260949
2022-10-25,3026.321044921875,3047.519841144531,3015.841045713505,3043.9308643354575,2069643
2022-10-27,3021.822265625,3037.709560950489,2999.7622114103624,3024.980611521912,2438421
2022-10-28,3027.421142578125,3042.016312869539,3009.9547912457765,3014.7400929806663,1355739
2022-10-31,3056.03759765625,3061.636494962743,3041.3468593893635,3061.636494962743,1919414
2022-11-01,3119.730224609375,3122.5058403956828,3065.895568732171,3076.471134529298,2991060
2022-11-02,3102.502685546875,3129.5875418916535,3083.696541946145,3129.5875418916535,1405955
2022-11-03,3069.053466796875,3089.4389002416087,3057.80800699026,3089.4389002416087,1422652
2022-11-04,3079.24609375,3081.7824440507297,3030.1967473539466,3078.8633630459376,1464013
2022-11-07,3094.845947265625,3103.55528974527,3057.9035586638047,3090.3478104389997,1474498
2022-11-09,3077.954345703125,3110.2551362972677,3064.1725348552204,3110.2551362972677,1162267
2022-11-10,3068.00048828125,3086.5196999438404,3033.8813794796815,3033.8813794796815,1573092
2022-11-11,3173.564453125,3198.1131930936153,3115.2795670070395,3129.204842850196,3265394
2022-11-14,3192.274658203125,3205.1949723646426,3166.91256003422,3181.2684646581283,1342074
2022-11-15,3189.49951171875,3196.533765308245,3150.642766878163,3178.3975178622054,1400708
2022-11-16,3211.272705078125,3223.2836261665625,3178.8282173391362,3195.5288745797416,1748235
2022-11-17,3205.1953125,3215.722977008062,3175.2871746930055,3196.5817688115853,1417986
2022-11-18,3199.88427734375,3218.355594007377,3178.398313195599,3206.1530711247383,1164540
2022-11-21,3142.507568359375,3190.551949808709,3132.4584349749457,3179.8329209301123,1304194
2022-11-22,3172.60693359375,3176.435174719951,3115.470481516655,3139.1577234850256,1149739
2022-11-23,3166.242919921875,3187.011083554716,3149.6857285220935,3187.011083554716,1150011
2022-11-24,3235.007568359375,3247.257988024385,3166.2429198603863,3173.8515031931165,1296591
2022-11-25,3244.099609375,3257.211523449345,3204.238138185766,3237.7352513388428,1588981
2022-11-28,3249.45947265625,3270.2755373143086,3221.0348241994716,3221.4654546678266,2195437
2022-11-29,3251.4697265625,3281.760599260712,3237.7358143187485,3237.7358143187485,1576028
2022-11-30,3245.200439453125,3268.265454816296,3230.0788384557045,3237.7353216283404,3410702
2022-12-01,3326.406982421875,3330.570288745739,3273.1466630777095,3277.931965216712,2180856
2022-12-02,3291.474365234375,3319.94691372637,3266.4473278379596,3309.6108477543053,2411749
2022-12-05,3278.79296875,3291.4740184228804,3260.704621547458,3285.5881907168837,1475065
2022-12-06,3239.98486328125,3261.614290427852,3223.3797701118256,3254.053605926456,1166999
2022-12-07,3235.4384765625,3247.9758275881863,3209.980576500018,3223.6665869297385,1167505
2022-12-08,3206.67822265625,3235.437929499193,3196.0547605664647,3215.722395161184,1285619
2022-12-09,3151.36083984375,3229.21780197916,3135.6651417119892,3229.21780197916,1797896
2022-12-12,3145.331298828125,3154.4712729432727,3097.1434449106673,3115.7103243527986,1527610
2022-12-13,3189.020751953125,3193.183824106642,3127.4817272975565,3136.478000747336,1378016
2022-12-14,3220.84326171875,3231.992921746597,3197.442948368048,3205.0038656076867,1213311
2022-12-15,3163.180419921875,3220.2689792904107,3157.2943582704224,3214.574516644722,1415694
2022-12-16,3101.114990234375,3150.64286639968,3086.711184347589,3134.3728394468258,2703680
2022-12-19,3064.555419921875,3106.139649190197,3057.329566888949,3088.4340311005285,2120965
2022-12-20,3104.656005859375,3109.4892075610405,3027.804009799763,3061.5403885521564,1529971
2022-12-21,3128.199951171875,3142.0773275664187,3100.875828849772,3109.489372818799,1432566
2022-12-22,3119.730224609375,3152.55744816908,3105.7572807894417,3152.55744816908,1384101
2022-12-23,3089.72607421875,3126.5729000768815,3078.8633450807597,3078.8633450807597,1360281
2022-12-26,3113.221435546875,3131.5013812044813,3086.5674457086957,3089.725791510443,870157
2022-12-27,3119.53857421875,3133.22458554949,3092.7408812970975,3128.8220139637115,835883
2022-12-28,3117.241455078125,3125.8549984923698,3087.4767838170847,3110.2548675773296,910795
2022-12-29,3128.3916015625,3131.023518015057,3089.391385038241,3092.3583661386115,1037927
2022-12-30,3116.85888671875,3157.342592640487,3106.8097514587544,3144.9487058846294,1163131
2023-01-02,3121.40478515625,3126.5730518257465,3096.2819481245456,3120.97415468146,709547
2023-01-03,3169.161865234375,3177.440343751405,3105.947982748461,3112.3602403251716,1245178
2023-01-04,3172.320068359375,3184.474922008757,3145.091747509391,3164.711485133984,1231668
2023-01-05,3168.9228515625,3193.997787846409,3141.0244001124465,3187.202565398395,1826057
2023-01-06,3073.647705078125,3159.78315034636,3062.5936095372317,3158.29965983527,2488376
2023-01-09,3177.392822265625,3184.1401452290934,3082.8352022403087,3090.348220301996,2885060
2023-01-10,3145.283447265625,3156.385442223344,3091.401129522859,3143.9436560653985,3864655
2023-01-11,3185.76708984375,3205.6739940393218,3130.6882139267436,3148.8246964749587,2720512
2023-01-12,3191.174560546875,3206.1524629181713,3173.181777605599,3186.0541937476396,2250391
2023-01-13,3229.647705078125,3233.9065764482343,3163.084118130043,3199.3566080490127,1742837
2023-01-16,3198.4697265625,3216.649071280011,3163.9336792716917,3182.1130239892022,1843607
2023-01-17,3241.016357421875,3244.2782360306937,3185.9506376172267,3194.5846501852952,1688475
2023-01-18,3252.14453125,3270.3238764037073,3235.1163408577618,3242.5511845501474,2421189
2023-01-19,3235.931884765625,3249.26654305831,3224.3238415172664,3242.5512003357217,1585044
2023-01-20,3226.3388671875,3256.6056918908125,3219.14385639351,3228.161509570274,1529349
2023-01-23,3276.032470703125,3279.965837255307,3219.1441017265497,3250.226457040357,1067916
2023-01-24,3296.561767578125,3311.5752614522503,3278.3344088801136,3285.721238983637,1387863
2023-01-25,3290.2783203125,3295.314827691067,3266.5347855278264,3286.009327567469,874110
2023-01-27,3272.338134765625,3305.866830149973,3244.7572666963238,3286.6801393191545,1785879
2023-01-30,3294.019775390625,3317.8113247896295,3247.875912975965,3280.9249493217903,1953798
2023-01-31,3222.1171875,3308.7451517692325,3214.7303576627132,3308.7451517692325,2820375
2023-02-01,3269.748779296875,3279.9656009819632,3218.5681752835585,3226.2428534958594,2205161
2023-02-02,3319.681884765625,3327.9322573243953,3281.0208815994665,3287.640197708476,1813847
2023-02-03,3340.691650390625,3361.509168891985,3312.487066493937,3361.509168891985,1804469
2023-02-06,3319.250244140625,3331.913416084789,3297.0897517914855,3331.913416084789,1138714
2023-02-07,3331.337646484375,3350.9559935923235,3320.6409244141632,3327.835934420445,1455647
